app,category,helpful_votes
Fieldkit,field research,37
Fieldkit,field research,12
Lookback,user research,21
Dovetail,research repository,38
Fieldkit,field research,5
Lookback,user research,14
Fieldkit,field research,23
Maze,usability testing,34
Dovetail,research repository,2
Miro,collaborative whiteboard,45
Miro,collaborative whiteboard,34
Lookback,user research,5
Fieldkit,field research,27
Miro,collaborative whiteboard,46
Lookback,user research,0
Maze,usability testing,40
Lookback,user research,33
Lookback,user research,15
Lookback,user research,8
Miro,collaborative whiteboard,27
Lookback,user research,42
Miro,collaborative whiteboard,37
Lookback,user research,3
Fieldkit,field research,34
Lookback,user research,6
Miro,collaborative whiteboard,43
Fieldkit,field research,8
Maze,usability testing,6
Lookback,user research,25
Dovetail,research repository,18
Lookback,user research,47
Maze,usability testing,10
Lookback,user research,15
Lookback,user research,39
Lookback,user research,16
Maze,usability testing,4
Lookback,user research,15
Dovetail,research repository,33
Lookback,user research,16
Fieldkit,field research,43
Maze,usability testing,0
Dovetail,research repository,45
Fieldkit,field research,9
Fieldkit,field research,43
Fieldkit,field research,15
Dovetail,research repository,26
Dovetail,research repository,24
Miro,collaborative whiteboard,19
Dovetail,research repository,25
Fieldkit,field research,43
Lookback,user research,11
Maze,usability testing,32
Lookback,user research,0
Lookback,user research,20
Fieldkit,field research,44
Dovetail,research repository,43
Dovetail,research repository,19
Miro,collaborative whiteboard,43
Miro,collaborative whiteboard,32
Lookback,user research,12
Fieldkit,field research,4
Lookback,user research,31
Dovetail,research repository,11
Lookback,user research,29
Miro,collaborative whiteboard,27
Lookback,user research,40
Lookback,user research,15
Maze,usability testing,4
Maze,usability testing,44
Lookback,user research,47
Lookback,user research,21
Miro,collaborative whiteboard,34
Miro,collaborative whiteboard,11
Miro,collaborative whiteboard,16
Miro,collaborative whiteboard,14
Fieldkit,field research,9
Miro,collaborative whiteboard,23
Lookback,user research,19
Fieldkit,field research,37
Dovetail,research repository,2
Miro,collaborative whiteboard,26
Fieldkit,field research,11
Maze,usability testing,17
Dovetail,research repository,29
Miro,collaborative whiteboard,21
Lookback,user research,46
Lookback,user research,28
Fieldkit,field research,35
Miro,collaborative whiteboard,16
Dovetail,research repository,12
Miro,collaborative whiteboard,12
Maze,usability testing,8
Fieldkit,field research,6
Lookback,user research,7
Miro,collaborative whiteboard,15
Miro,collaborative whiteboard,28
Lookback,user research,47
Dovetail,research repository,10
Miro,collaborative whiteboard,4
Maze,usability testing,27
Dovetail,research repository,47
Maze,usability testing,32
Miro,collaborative whiteboard,16
Dovetail,research repository,43
Lookback,user research,17
Lookback,user research,22
Maze,usability testing,42
Lookback,user research,0
Lookback,user research,31
Fieldkit,field research,18
Miro,collaborative whiteboard,35
Miro,collaborative whiteboard,9
Maze,usability testing,15
Dovetail,research repository,4
